Curriculum,Cornell_BA,,,,,,,
Institution,Cornell,,,,,,,
Degree Type,BA,,,,,,,
System Type,semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Calculus I,MATH,1110,,,,4,
2,Calculus II,MATH,1120,1,,,4,
3,Linear Algebra,MATH,2210,2,,,4,
4,CS 1,CS,1110,,,,4,
5,CS 2,CS,2110,4,,,3,
6,Discrete Structures,CS,2800,4,,,3,
7,Data Structures and Functional,CS,3110,5;6,,,4,
8,Computer Organization,CS,3410,5,,,4,
9,Operating Systems,CS,4410,8,,,3,
10,Algorithms,CS,4820,6;7,,,4,
11,CS 4000+,CS,4620,5,,,3,
12,CS 4000+,CS,4621,,11,,2,
13,CS 4000+,CS,3200,2,,,3,
14,CS Project,CS,3152,5,,,4,
15,CS Project Lab,ENGRC,3152,,,14,1,
16,CS Tech,CS,4670,5;6,,,4,
17,CS Tech,CS,4152,14,,,3,
18,CS Tech,PSYCH,3420,,,,3,
19,Mathematical Foundations for the Information Age,CS,4850,6,,,4,
20,Arts and Lit Elective,ALC-AS,1xxx,,,,3,
21,Bio Elective,BIO-AS,1xxx,,,,4,
22,Ethics and Mind elective,ETM-AS,1xxx,,,,3,
23,Global Citizen Elective,GLC-AS,1xxx,,,,3,
24,Historical Elective,HST-AS,1xxx,,,,3,
25,Phy Sci Elective,PHS-AS,1xxx,,,,3,
26,Social Diff,SCD-AS,1xxx,,,,3,
27,Social Science,SSC-AS,1xxx,,,,3,
28,Languages,Lang,1xxx,,,,4,
29,Languages,Lang,2xxx,28,,,4,
30,Languages,Lang,3xxx,29,,,3,
31,FWS,FWS,1xxx,,,,4,
32,FWS,FWS,1xxx,,,,4,
33,Elective,Elective,1xxx,,,,3,
34,Elective,Elective,1xxx,,,,3,
35,Elective,Elective,1xxx,,,,3,
36,Elective,Elective,1xxx,,,,3,
