Curriculum,CS-BS,,,,,,,,
Insitution,University of Nebraska - Omaha,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to Computer Science I,CIST,1400,,,,3,,
2,Intro to Computer Science II,CSCI,1620,1;7,,,3,,
3,Introduction to C ,CSCI,2240,2,,,3,,
4,"Organization, Applications and Tech",CIST,2100,,,,3,,
5,Intro to Applied Stats for IS&T,CIST,2500,,,,3,,
6,IT Ethics,CIST,3110,28,,,3,,
7,Calc I,MATH,1950,,,,5,,
8,Calc II,MATH,1960,7,,,4,,
9,Math Foundations of CS,CSCI,2030,2;7,,,3,,
10,Applied Linear Algebra,MATH,2050,7,,,3,,
11,Data Structures,CSCI,3320,2;9,,,3,,
12,Communication Networks,CSCI,3550,,11,,3,,
13,Theory of Computation,CSCI,3660,11,,,3,,
14,Intro to digital design and organization,CSCI,3710,,11,,3,,
15,Principles of Prog Languages,CSCI,4220,11;13,,,3,,
16,Computer Architecture,CSCI,4350,11,,,3,,
17,Operating Systems,CSCI,4500,14;11;7;16,,,3,,
18,Intro to SE,CSCI,4830,11,,,3,,
19,Capstone,CSCI,4970,18,,,3,,
20,CS Core Extension,CSCI,3470,26,,,3,,
21,CS Core Extension,CSCI,4250,11,,,3,,
22,CS Core Extension,CSCI,4450,11,,,3,,
23,CS Core Extension,CSCI,4620,11,,,3,,
24,CS Core Extension,CSCI,4850,11,,,3,,
25,CS Core Extension,CSCI,2830,2,,,3,,
26,CS Core Extension,CSCI,2410,2;5,,,3,,
27,Writing,CIST,3000,,,,3,,
28,English 1,ENGL,1150,,,,3,,
29,Core,Core ,1,,,,3,,
30,Core,Core ,2,,,,3,,
31,Core,Core ,3,,,,3,,
32,Core,Core ,4,,,,3,,
33,Core,Core ,5,,,,3,,
34,Core,Core ,6,,,,3,,
35,Core,Core ,7,,,,3,,
36,Core,Core ,8,,,,3,,
37,Core,Core ,9,,,,3,,
38,Elective,Elective,2,,,,3,,
39,Elective,Elective,1,,,,3,,
